Stock Name,Code,Date,Price,Open,High,Low,Volume,Change%
Ayala Corp Pref B,ACPB2,"Nov 09, 2018",491,488,491,488,0.12K,-0.20%
Ayala Corp Pref B,ACPB2,"Nov 07, 2018",492,492,492,490,0.18K,0.00%
Ayala Corp Pref B,ACPB2,"Nov 06, 2018",492,492,492,492,0.03K,0.00%
Ayala Corp Pref B,ACPB2,"Oct 31, 2018",492,492,492,492,0.05K,0.61%
Ayala Corp Pref B,ACPB2,"Oct 29, 2018",489,489,489,489,0.54K,0.00%
Ayala Corp Pref B,ACPB2,"Oct 26, 2018",489,490,490,489,4.00K,0.33%
Ayala Corp Pref B,ACPB2,"Oct 25, 2018",487.4,487.6,487.6,487.4,0.70K,-0.49%
Ayala Corp Pref B,ACPB2,"Oct 24, 2018",489.8,487.8,489.8,487.8,1.00K,-0.04%
Ayala Corp Pref B,ACPB2,"Oct 23, 2018",490,490,490,490,0.05K,0.20%
Ayala Corp Pref B,ACPB2,"Oct 22, 2018",489,489.8,489.8,487,2.17K,-1.21%
Ayala Corp Pref B,ACPB2,"Oct 19, 2018",495,495,495,495,100.00K,0.00%
Ayala Corp Pref B,ACPB2,"Oct 18, 2018",495,497,497,495,0.04K,-0.60%
Ayala Corp Pref B,ACPB2,"Oct 16, 2018",498,498,498,498,0.19K,0.00%
Ayala Corp Pref B,ACPB2,"Oct 15, 2018",498,498,498,498,0.01K,0.00%
Ayala Corp Pref B,ACPB2,"Oct 12, 2018",498,490,498,489.2,1.06K,-0.20%
Ayala Corp Pref B,ACPB2,"Oct 11, 2018",499,490,499,490,0.03K,0.00%
Ayala Corp Pref B,ACPB2,"Oct 10, 2018",499,499,499,499,0.01K,0.00%
Ayala Corp Pref B,ACPB2,"Oct 08, 2018",499,502,502,490,0.06K,0.81%
Ayala Corp Pref B,ACPB2,"Oct 05, 2018",495,489,495,489,0.77K,1.02%
Ayala Corp Pref B,ACPB2,"Oct 04, 2018",490,489.8,490,489.8,0.24K,0.00%
Ayala Corp Pref B,ACPB2,"Oct 03, 2018",490,490,490,490,3.02K,-1.01%
Ayala Corp Pref B,ACPB2,"Oct 02, 2018",495,495,495,495,0.34K,0.00%
Ayala Corp Pref B,ACPB2,"Sep 28, 2018",495,495,495,490,2.02K,0.00%
Ayala Corp Pref B,ACPB2,"Sep 27, 2018",495,495,495,490,2.09K,0.00%
Ayala Corp Pref B,ACPB2,"Sep 26, 2018",495,493,495,493,0.44K,0.41%
Ayala Corp Pref B,ACPB2,"Sep 25, 2018",493,493,493,493,0.39K,0.00%
Ayala Corp Pref B,ACPB2,"Sep 24, 2018",493,495,495,493,1.13K,-0.48%
Ayala Corp Pref B,ACPB2,"Sep 20, 2018",495.4,495.4,495.4,495.4,0.01K,-1.31%
Ayala Corp Pref B,ACPB2,"Sep 19, 2018",502,495.2,502,495.2,0.02K,1.41%
Ayala Corp Pref B,ACPB2,"Sep 18, 2018",495,495.2,495.2,495,7.22K,-1.00%
Ayala Corp Pref B,ACPB2,"Sep 17, 2018",500,502,502,495.2,0.63K,-0.20%
Ayala Corp Pref B,ACPB2,"Sep 13, 2018",501,500,502,500,19.94K,0.20%
Ayala Corp Pref B,ACPB2,"Sep 12, 2018",500,500,500,500,0.65K,-0.40%
Ayala Corp Pref B,ACPB2,"Sep 10, 2018",502,502,502,502,0.08K,0.40%
Ayala Corp Pref B,ACPB2,"Sep 07, 2018",500,500,500,500,1.00K,0.00%
Ayala Corp Pref B,ACPB2,"Sep 06, 2018",500,502,502,500,1.36K,-0.40%
Ayala Corp Pref B,ACPB2,"Sep 05, 2018",502,502,502,502,0.05K,0.00%
Ayala Corp Pref B,ACPB2,"Sep 04, 2018",502,500,502,500,0.78K,0.40%
Ayala Corp Pref B,ACPB2,"Sep 03, 2018",500,501,501,500,7.00K,-0.20%
Ayala Corp Pref B,ACPB2,"Aug 31, 2018",501,501.5,501.5,501,1.50K,-0.20%
Ayala Corp Pref B,ACPB2,"Aug 30, 2018",502,502,502,502,2.00K,-0.10%
Ayala Corp Pref B,ACPB2,"Aug 29, 2018",502.5,502.5,502.5,502.5,1.50K,-0.50%
Ayala Corp Pref B,ACPB2,"Aug 23, 2018",505,505,505,505,0.01K,0.00%
Ayala Corp Pref B,ACPB2,"Aug 22, 2018",505,505,505,505,0.03K,0.20%
Ayala Corp Pref B,ACPB2,"Aug 16, 2018",504,505,505,504,0.78K,0.10%
Ayala Corp Pref B,ACPB2,"Aug 09, 2018",503.5,503.5,503.5,503.5,1.00K,0.00%
Ayala Corp Pref B,ACPB2,"Aug 08, 2018",503.5,505,505,503.5,1.02K,-0.30%
Ayala Corp Pref B,ACPB2,"Aug 07, 2018",505,504.5,505,504.5,1.54K,0.00%
Ayala Corp Pref B,ACPB2,"Aug 06, 2018",505,505,505,503,12.88K,-0.39%
Ayala Corp Pref B,ACPB2,"Aug 02, 2018",507,507,507,507,0.22K,0.00%
Ayala Corp Pref B,ACPB2,"Jul 30, 2018",507,507,507,503,2.03K,1.00%
Ayala Corp Pref B,ACPB2,"Jul 26, 2018",502,501.5,502,501.5,6.70K,-0.40%
Ayala Corp Pref B,ACPB2,"Jul 25, 2018",504,506,506,504,0.38K,-0.20%
Ayala Corp Pref B,ACPB2,"Jul 23, 2018",505,508,508,505,0.20K,0.80%
Ayala Corp Pref B,ACPB2,"Jul 20, 2018",501,506,508,501,3.19K,-1.38%
Ayala Corp Pref B,ACPB2,"Jul 19, 2018",508,502,508,502,2.01K,0.59%
Ayala Corp Pref B,ACPB2,"Jul 18, 2018",505,505,505,505,1.04K,0.00%
Ayala Corp Pref B,ACPB2,"Jul 17, 2018",505,505,505,505,2.96K,0.80%
Ayala Corp Pref B,ACPB2,"Jul 13, 2018",501,501,501,501,0.04K,-1.38%
Ayala Corp Pref B,ACPB2,"Jul 11, 2018",508,501,508,501,0.09K,1.60%
Ayala Corp Pref B,ACPB2,"Jul 10, 2018",500,500,500,500,0.01K,0.00%
Ayala Corp Pref B,ACPB2,"Jul 06, 2018",500,500,500,500,0.24K,-0.99%
Ayala Corp Pref B,ACPB2,"Jul 05, 2018",505,505,505,505,0.04K,0.00%
Ayala Corp Pref B,ACPB2,"Jul 04, 2018",505,505,505,501,2.03K,0.00%
Ayala Corp Pref B,ACPB2,"Jul 03, 2018",505,505,505,505,0.40K,0.00%
Ayala Corp Pref B,ACPB2,"Jul 02, 2018",505,505,505,505,0.19K,0.00%
